,Ticker,TotalAssets,PrimarySector,MarketCapitalization,NumberEmployees,TransactionType,TransactionValue
0,NYSE:AEM,10715.5,Materials,15892.5,5990.0,4.0,401.8375
1,TSX:AC,19197.0,Industrials,11338.6,32600.0,1.0,200.0
2,TSX:AGI,4455.5,Materials,3151.9,1700.0,2.0,170.055
3,TSX:AQN,12811.6,Utilities,8000.0,2277.0,6.0,495.59999999999997
4,TSX:ATD.B,30426.3,Consumer Staples,47281.4,133000.0,10.0,848.108
5,TSX:AP.UN,6706.3,Real Estate,5621.8,263.0,7.0,202.18285714285713
6,TSX:ALA,23487.7,Utilities,5512.0,2881.0,7.0,571.7471428571429
7,TSX:ACO.X,23344.0,Utilities,5042.8,6241.0,1.0,200.0
8,TSX:ACB,1910.7,Health Care,8958.5,967.0,14.0,106.19142857142856
9,TSX:BTO,3476.6,Materials,4105.6,3168.0,0.0,0.0
10,TSX:BMO,774048.0,Financials,63889.1,45454.0,692.0,106.04588150289001
11,TSX:ABX,30880.9,Materials,37685.1,17500.0,0.0,0.0
12,NYSE:BHC,44336.6,Health Care,10834.5,21100.0,9.0,1452.9044444444444
13,TSX:BCE,57100.0,Communication Services,54280.8,52790.0,1.0,175.0
14,TSX:BB,5173.3,Information Technology,5139.5,3945.0,1.0,799.14
15,TSX:BBD.B,34056.2,Industrials,5233.7,56920.0,0.0,0.0
16,TSX:BYD.UN,1233.5,Industrials,3473.0,8568.0,0.0,0.0
17,TSX:BAM.A,349705.7,Financials,61229.8,101700.0,2.0,300.0
18,NYSE:BBU,37276.5,Industrials,7560.6,26900.0,0.0,0.0
19,NYSE:BIP,49914.9,Utilities,16419.9,6000.0,0.0,0.0
20,NasdaqGS:BPY,167183.4,Real Estate,10333.7,19000.0,0.0,0.0
21,TSX:BEP.UN,46534.9,Utilities,14574.3,2325.0,0.0,0.0
22,TSX:DOO,3077.2,Consumer Discretionary,4689.0,12500.0,0.0,0.0
23,TSX:CAE,7165.5,Industrials,9683.0,10000.0,1.0,732.8
